;Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Impuesto
0;Habitación;San Borja;1;0;0;40;1700.0;500.0;60.0
1;Casa;Lurigancho;2;0;1;100;7000.0;;
2;Local comercial;Ate;0;4;0;150;5200.0;4020.0;1111.0
3;Departamento;Pachacámac;1;0;0;15;800.0;390.0;20.0
4;Departamento;Ate;1;0;0;48;800.0;230.0;
5;Departamento;Barranco;3;1;0;70;1200.0;;
6;Departamento;Comas;2;0;0;50;1300.0;301.0;17.0
7;Casa en condominio;Ate;5;4;5;750;22000.0;;
8;Casa en condominio;El Agustino;2;2;0;65;1000.0;;
9;Local comercial;Pachacámac;0;3;0;695;35000.0;19193.0;3030.0
10;Departamento;Pachacámac;1;0;0;36;1200.0;;
11;Departamento;Mi Perú;2;1;0;70;1500.0;642.0;74.0
12;Departamento;San Borja;3;1;1;90;1500.0;455.0;14.0
13;Departamento;San Borja;1;0;1;40;2000.0;561.0;50.0
14;Habitación;San Borja;1;0;0;27;1800.0;501.0;
15;Departamento;San Borja;4;3;1;243;13000.0;2000.0;803.0
16;Edificio completo;Chorrillos;0;0;0;536;28000.0;;3563.0
17;Flat;Chorrillos;3;1;1;80;3800.0;1040.0;
18;Casa en condominio;San Luis;3;1;1;115;2000.0;;
19;Departamento;Callao;3;0;0;54;950.0;300.0;28.0
20;Departamento;Ate;2;1;1;67;1700.0;589.0;147.0
21;Departamento;San Miguel;2;1;0;110;1900.0;700.0;138.0
22;Casa en condominio;Ate;4;3;2;466;7500.0;2695.0;
23;Departamento;Santa Rosa;3;1;0;68;1000.0;670.0;
24;Departamento;San Miguel;2;1;0;78;2000.0;700.0;
25;Flat;Rímac;1;0;0;56;4500.0;1900.0;1500.0
26;Local comercial;Punta Negra;0;1;0;25;1100.0;600.0;
27;Departamento;Comas;3;1;1;125;7000.0;2100.0;463.0
28;Departamento;San Miguel;1;0;0;48;750.0;772.0;25.0
29;Tienda/Salón;Lince;0;1;0;35;1300.0;950.0;
30;Departamento;Ate;3;3;1;175;4200.0;1500.0;500.0
31;Casa;Lince;4;1;2;400;12000.0;;
32;Departamento;Chorrillos;2;1;0;76;2500.0;740.0;
33;Departamento;San Borja;3;1;2;378;10000.0;2150.0;700.0
34;Departamento;San Borja;3;0;0;180;5500.0;1780.0;420.0
35;Local comercial;Ate;0;1;0;22;700.0;;
36;Departamento;Jesús María;3;1;1;105;2300.0;648.0;
37;Departamento;Rímac;3;1;0;110;3900.0;1500.0;120.0
38;Local comercial;Pachacámac;0;5;0;1306;117540.0;19486.0;
39;Habitación;San Borja;1;0;0;27;1300.0;380.0;53.0
40;Departamento;Miraflores;3;3;1;200;3500.0;1780.0;496.0
41;Departamento;Ate;3;1;2;70;1800.0;1095.0;140.0
42;Local comercial;Jesús María;0;1;0;50;1500.0;250.0;
43;Departamento;San Borja;4;1;0;244;5000.0;2500.0;4100.0
44;Departamento;Ate;3;2;1;110;4500.0;2000.0;450.0
45;Local comercial;Pachacámac;0;0;0;460;7500.0;4797.0;2019.0
46;Local comercial;Pachacámac;0;0;0;1170;140456.0;23409.0;5852.0
47;Departamento;Jesús María;2;2;2;90;3000.0;1340.0;
48;Departamento;Jesús María;3;2;2;100;2600.0;380.0;
49;Departamento;Ate;3;1;1;72;2350.0;600.0;70.0
50;Departamento;Breña;2;2;1;180;4000.0;2500.0;300.0
51;Departamento;Jesús María;3;1;2;92;2300.0;840.0;200.0
52;Local comercial;Pachacámac;0;1;0;70;1900.0;1080.0;251.0
53;Local comercial;Lurigancho;0;1;0;50;4000.0;1160.0;200.0
54;Departamento;Pachacámac;1;0;0;27;750.0;371.0;19.0
55;Departamento;Comas;1;0;0;35;2000.0;650.0;75.0
56;Departamento;Comas;1;0;0;38;1400.0;530.0;77.0
57;Departamento;Jesús María;2;1;2;83;1600.0;1160.0;157.0
58;Tienda/Salón;San Borja;0;0;0;34;2000.0;735.0;
59;Casa en condominio;Ate;5;10;5;1600;25000.0;1600.0;
60;Departamento;Ate;4;3;3;153;6500.0;2300.0;434.0
61;Local comercial;Jesús María;0;0;0;84;1500.0;1546.0;
62;Departamento;Ancón;4;3;4;267;18000.0;3100.0;400.0
63;Departamento;Comas;3;1;0;87;3200.0;1305.0;217.0
64;Departamento;Santa Anita;3;1;0;90;1550.0;844.0;80.0
65;Departamento;Villa María del Triunfo;3;1;0;53;1400.0;385.0;28.0
66;Departamento;Chorrillos;3;1;1;108;5950.0;1405.0;289.0
67;Departamento;San Luis;2;0;0;86;1800.0;600.0;82.0
68;Departamento;Jesús María;2;1;1;74;1850.0;675.0;200.0
69;Local comercial;Santa Anita;0;0;0;32;700.0;380.0;56.0
70;Departamento;Lince;3;1;1;74;1900.0;556.0;98.0
71;Departamento;Comas;3;2;1;150;8000.0;2400.0;
72;Local comercial;Pachacámac;0;0;0;1;2850.0;2050.0;
73;Departamento;Comas;3;1;1;140;7900.0;2900.0;500.0
74;Casa;Santa Anita;2;0;0;51;1500.0;50.0;
75;Departamento;Lurigancho;2;2;0;95;4000.0;1170.0;
76;Departamento;Ate;2;1;1;70;;970.0;68.0
77;Departamento;Comas;2;0;0;60;1000.0;380.0;280.0
78;Local comercial;Ate;0;1;0;33;700.0;1010.0;56.0
79;Local comercial;Lurigancho;0;1;0;24;2500.0;682.0;112.0
80;Almacén;Villa El Salvador;0;6;0;2236;40000.0;;
81;Local comercial;Ate;0;1;0;32;850.0;719.0;
82;Casa;Punta Hermosa;4;2;4;730;28000.0;2000.0;12000.0
83;Casa comercial;Chorrillos;0;0;0;140;7000.0;;137.0
84;Almacén;San Miguel;0;3;0;1000;9800.0;;820.0
85;Casa en condominio;Callao;5;3;1;140;2500.0;1200.0;
86;Local comercial;Pachacámac;0;1;0;390;25397.0;12090.0;1318.0
87;Local comercial;Pachacámac;0;0;0;320;12000.0;3740.0;1541.0
88;Departamento;Rímac;2;1;1;80;3500.0;990.0;245.0
89;Departamento;Ate;4;4;4;240;12700.0;4400.0;1440.0
90;Departamento;Ate;3;2;1;104;2600.0;1364.0;406.0
91;Departamento;Ate;2;1;0;45;800.0;280.0;14.0
92;Departamento;La Perla;2;1;0;70;2800.0;680.0;98.0
93;Departamento;Ate;2;1;1;88;2700.0;1300.0;2042.0
94;Departamento;Pachacámac;1;1;0;37;1100.0;540.0;900.0
95;Departamento;San Juan de Lurigancho;3;4;0;130;5500.0;1407.0;246.0
96;Departamento;Chaclacayo;2;1;0;77;1500.0;740.0;
97;Departamento;Ate;3;2;2;85;2500.0;1400.0;190.0
98;Departamento;Santa Anita;3;1;1;78;1450.0;630.0;73.0
99;Departamento;Punta Hermosa;2;1;0;54;2300.0;582.0;
100;Habitación;Pachacámac;0;0;0;30;800.0;505.0;
101;Departamento;Lince;2;1;1;69;2000.0;780.0;
102;Departamento;Comas;3;1;1;120;7000.0;1800.0;370.0
103;Tienda/Salón;Ate;0;0;0;36;5300.0;2114.0;839.0
104;Departamento;Ate;2;1;1;78;2750.0;1300.0;138.0
105;Local comercial;Pachacámac;0;0;0;95;3800.0;1688.0;392.0
106;Departamento;Jesús María;2;1;0;60;1000.0;450.0;150.0
107;Departamento;Jesús María;2;1;1;90;2400.0;1700.0;135.0
108;Local comercial;Pachacámac;0;0;0;310;17050.0;5950.0;1917.0
109;Departamento;Breña;2;1;0;86;4000.0;1259.0;188.0
110;Habitación;Villa El Salvador;0;0;0;28;1000.0;581.0;53.0
111;Departamento;Ate;1;1;1;70;1700.0;870.0;143.0
112;Local comercial;Ate;0;4;0;145;9000.0;6400.0;
113;Departamento;Chorrillos;2;0;0;80;1000.0;;
114;Departamento;San Miguel;2;1;0;80;1800.0;1100.0;84.0
115;Local comercial;Ate;0;2;0;142;4000.0;5024.0;12415.0
